"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pit-trial","19","127501","0.0-1.0-1.17-0.17","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","20","134501","0.0-1.0-1.18-0.18","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","21","141501","0.0-1.0-1.19-0.19","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","22","148501","0.0-1.0-1.20-0.20","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","23","155501","0.0-1.0-1.21-0.21","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","24","162501","0.0-1.0-1.22-0.22","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","25","169501","0.0-1.0-1.23-0.23","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","26","176501","0.0-1.0-1.24-0.24","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","27","183501","0.0-1.0-1.25-0.25","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","28","190501","0.0-1.0-1.26-0.26","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","29","197501","0.0-1.0-1.27-0.27","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","30","204501","0.0-1.0-1.28-0.28","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","31","211501","0.0-1.0-1.29-0.29","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","32","218501","0.0-1.0-1.30-0.30","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","33","225501","0.0-1.0-1.31-0.31","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","34","232501","0.0-1.0-1.32-0.32","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","35","239501","0.0-1.0-1.33-0.33","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","36","246501","0.0-1.0-1.34-0.34","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
