"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","responses","num_errors","view_history","sub","trial","stimulus","robot","valence","action","sham"
"pit-trial","19","76793","0.0-13.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1"," ","317.10000014305115","0","+10","[775.5999999046326,1169.5]","2","1","","","","","","","3&age=8&participant_ID=5&order=1","11","2","2","win","no-go","1"
"pit-trial","20","80158","0.0-14.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1"," ","509.10000014305115","0","-10","[1359.3999998569489]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","12","0","4","lose","no-go","0"
"pit-trial","21","83203","0.0-15.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1"," ","192.79999995231628","0","0","[1042.9000000953674]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","13","0","4","lose","no-go","1"
"pit-trial","22","86307","0.0-16.0","battery-v0.2","&#9730;","elianto","#3366ff99"," "," ","250.40000009536743","1","0","[1102.1999998092651]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","14","1","1","win","go","1"
"pit-trial","23","89299","0.0-17.0","battery-v0.2","&#9752;","elianto","#f73b6a7A"," "," ","138.20000004768372","1","0","[989.9000000953674]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","15","3","3","lose","go","0"
"pit-trial","24","92314","0.0-18.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1"," ","162","0","0","[1013.5]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","16","2","2","win","no-go","0"
"pit-trial","25","95480","0.0-19.0","battery-v0.2","&#9730;","elianto","#3366ff99"," "," ","308.40000009536743","1","+10","[1159.4000000953674]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","17","1","1","win","go","0"
"pit-trial","26","98989","0.0-20.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1"," ","653.8000001907349","0","-10","[1503.7000000476837]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","18","0","4","lose","no-go","0"
"pit-trial","27","102024","0.0-21.0","battery-v0.2","&#9752;","elianto","#f73b6a7A"," "," ","179.09999990463257","1","0","[1030.7999999523163]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","19","3","3","lose","go","0"
"pit-trial","28","105015","0.0-22.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1"," ","136.79999995231628","0","0","[988.5999999046326]","1","1","","","","","","","3&age=8&participant_ID=5&order=1","20","2","2","win","no-go","0"
"pit-trial","29","107965","0.0-23.0","battery-v0.2","h","elianto","#f73b6a7A"," "," ","95.5","1","-10","[946.2999999523163]","1","2","","","","","","","3&age=8&participant_ID=5&order=1","21","3","3","lose","go","1"
"pit-trial","30","111002","0.0-24.0","battery-v0.2","y","elianto","#3366ff99"," "," ","182","1","0","[1032.7999999523163]","1","2","","","","","","","3&age=8&participant_ID=5&order=1","22","2","1","win","go","1"
"pit-trial","31","113969","0.0-25.0","battery-v0.2","r","elianto","#3366ff99","-1"," ","112.90000009536743","0","0","[964.3999998569489]","1","2","","","","","","","3&age=8&participant_ID=5&order=1","23","1","2","win","no-go","0"
"pit-trial","32","118828","0.0-26.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","24","0","2","win","no-go","0"
"pit-trial","33","124433","0.0-27.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","25","1","2","win","no-go","0"
"pit-trial","34","130566","0.0-28.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","26","2","1","win","go","0"
"pit-trial","35","137834","0.0-29.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","27","3","3","lose","go","0"
"pit-trial","36","144412","0.0-30.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","28","0","2","win","no-go","1"
"pit-trial","37","150678","0.0-31.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","29","0","2","win","no-go","1"
"pit-trial","38","158347","0.0-32.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","30","2","1","win","go","0"
"pit-trial","39","165157","0.0-33.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","31","3","3","lose","go","0"
"pit-trial","40","171429","0.0-34.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","32","1","2","win","no-go","0"
"pit-trial","41","178057","0.0-35.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","33","0","2","win","no-go","0"
"pit-trial","42","185076","0.0-36.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","34","2","1","win","go","0"
"pit-trial","43","192014","0.0-37.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","35","1","2","win","no-go","1"
"pit-trial","44","199022","0.0-38.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","36","3","3","lose","go","0"
"pit-trial","45","205560","0.0-39.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","37","0","2","win","no-go","0"
"pit-trial","46","213203","0.0-40.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","38","3","3","lose","go","0"
"pit-trial","47","220339","0.0-41.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","39","1","2","win","no-go","0"
"pit-trial","48","227112","0.0-42.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","40","2","1","win","go","0"
"pit-trial","49","233408","0.0-43.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","41","3","3","lose","go","0"
"pit-trial","50","239408","0.0-44.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","42","0","2","win","no-go","0"
"pit-trial","51","246199","0.0-45.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","43","2","1","win","go","0"
"pit-trial","52","253356","0.0-46.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","44","1","2","win","no-go","0"
"pit-trial","53","260022","0.0-47.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","45","3","3","lose","go","0"
"pit-trial","54","267040","0.0-48.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","46","2","1","win","go","0"
"pit-trial","55","274037","0.0-49.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","47","1","2","win","no-go","1"
"pit-trial","56","280706","0.0-50.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","48","0","2","win","no-go","0"
"pit-trial","57","287447","0.0-51.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","49","0","2","win","no-go","0"
"pit-trial","58","293406","0.0-52.0","battery-v0.2","r","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","50","1","2","win","no-go","0"
"pit-trial","59","299405","0.0-53.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","51","2","1","win","go","1"
"pit-trial","60","305405","0.0-54.0","battery-v0.2","h","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","52","3","3","lose","go","0"
"pit-trial","61","311417","0.0-55.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","53","2","1","win","go","0"
"pit-trial","62","317832","0.0-56.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","54","0","2","win","no-go","0"
"pit-trial","63","324905","0.0-57.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","55","5","3","lose","go","0"
"pit-trial","64","331769","0.0-58.0","battery-v0.2","z","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","56","4","4","lose","no-go","1"
"pit-trial","65","338771","0.0-59.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","57","5","3","lose","go","0"
"pit-trial","66","345720","0.0-60.0","battery-v0.2","z","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","58","4","4","lose","no-go","0"
"pit-trial","67","352994","0.0-61.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","59","2","1","win","go","0"
"pit-trial","68","359403","0.0-62.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","60","0","2","win","no-go","0"
"pit-trial","69","365572","0.0-63.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","61","2","1","win","go","0"
"pit-trial","70","372407","0.0-64.0","battery-v0.2","b","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","62","6","2","win","no-go","0"
"pit-trial","71","378403","0.0-65.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","63","5","3","lose","go","0"
"pit-trial","72","384402","0.0-66.0","battery-v0.2","z","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","64","4","4","lose","no-go","0"
"pit-trial","73","390683","0.0-67.0","battery-v0.2","z","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","65","4","4","lose","no-go","0"
"pit-trial","74","397401","0.0-68.0","battery-v0.2","y","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","66","2","1","win","go","0"
"pit-trial","75","403424","0.0-69.0","battery-v0.2","b","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","67","6","2","win","no-go","0"
"pit-trial","76","409401","0.0-70.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","68","5","3","lose","go","0"
"pit-trial","77","415813","0.0-71.0","battery-v0.2","b","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","69","6","2","win","no-go","0"
"pit-trial","78","463400","0.0-72.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","70","5","3","lose","go","0"
"pit-trial","79","583394","0.0-73.0","battery-v0.2","z","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","71","4","4","lose","no-go","0"
"pit-trial","80","703389","0.0-74.0","battery-v0.2","t","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","72","7","4","lose","no-go","1"
"pit-trial","81","823384","0.0-75.0","battery-v0.2","c","elianto","#f73b6a7A"," ","-1","-1","0","-10","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","73","5","3","lose","go","0"
"pit-trial","82","856999","0.0-76.0","battery-v0.2","t","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","2","","","","","","","3&age=8&participant_ID=5&order=1","74","7","4","lose","no-go","0"
