"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pit-trial","10","58253","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","63110","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","67967","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","72821","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","14","72823","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","15","189707","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":86194.10000014305},{""page_index"":1,""viewing_time"":30692.299999952316}]","116886.70000004768","","","","","","","","","","","","","","","",""
"pit-trial","16","194565","0.0-1.0-7.0-0.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","199420","0.0-1.0-7.0-1.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","204273","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","19","209126","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","20","213987","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","21","213988","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","22","244605","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":25214.10000014305},{""page_index"":1,""viewing_time"":5403}]","30617.400000095367","","","","","","","","","","","","","","","",""
"pit-trial","23","247884","0.0-1.0-10.0-0.0","battery-v0.2","","423.5","&#9789;","elianto","#f73b6a7A","32","32","1","0","1273.6000001430511","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","24","251078","0.0-1.0-10.0-1.0","battery-v0.2","","338.19999980926514","&#9789;","elianto","#f73b6a7A","32","32","1","0","1188.7999999523163,2864.5","2","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","25","254011","0.0-1.0-10.0-2.0","battery-v0.2","","78","&#9789;","elianto","#f73b6a7A","32","32","1","0","930.2999999523163","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","26","257093","0.0-1.0-10.0-3.0","battery-v0.2","","229.90000009536743","&#9789;","elianto","#f73b6a7A","32","32","1","0","1081.0999999046326","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","27","260047","0.0-1.0-10.0-4.0","battery-v0.2","","95.40000009536743","&#9789;","elianto","#f73b6a7A","32","32","1","-10","947.2000000476837","1","0","4","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","28","260048","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-instructions","29","301518","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":10511.400000095367},{""page_index"":1,""viewing_time"":12904.200000047684},{""page_index"":2,""viewing_time"":9886},{""page_index"":3,""viewing_time"":6251.5},{""page_index"":4,""viewing_time"":1917.1999998092651}]","41470.60000014305","","","","","","","","","","","","","","","",""
"pit-comprehension","30","310405","0.0-1.0-13.0-0.0","battery-v0.2","","8885.099999904633","","","","","","","","","","","","","","","UP","1"
"pit-instructions","31","332593","0.0-1.0-13.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":22178.60000014305}]","22178.800000190735","","","","","","","","","","","","","","","",""
"pit-instructions","32","339078","0.0-1.0-13.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6484}]","6484.299999952316","","","","","","","","","","","","","","","",""
"pit-comprehension","33","341979","0.0-1.0-13.1-0.1","battery-v0.2","","2899.4000000953674","","","","","","","","","","","","","","","SPACE","0"
"pit-instructions","34","342996","0.0-1.0-13.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1010.5}]","1010.9000000953674","","","","","","","","","","","","","","","",""
"pit-comprehension","35","349248","0.0-1.0-14.0-0.0","battery-v0.2","","6250.299999952316","","","","","","","","","","","","","","","5","1"
"pit-instructions","36","353848","0.0-1.0-14.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4594.399999856949}]","4594.699999809265","","","","","","","","","","","","","","","",""
"pit-instructions","37","354649","0.0-1.0-14.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":798.5}]","798.9000000953674","","","","","","","","","","","","","","","",""
"pit-comprehension","38","357167","0.0-1.0-14.1-0.1","battery-v0.2","","2516.5","","","","","","","","","","","","","","","10","0"
"pit-instructions","39","358266","0.0-1.0-14.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1092.5}]","1092.8000001907349","","","","","","","","","","","","","","","",""
"pit-comprehension","40","392892","0.0-1.0-15.0-0.0","battery-v0.2","","34625.90000009537","","","","","","","","","","","","","","","-10","1"
"pit-instructions","41","439936","0.0-1.0-15.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":47039.199999809265}]","47039.39999985695","","","","","","","","","","","","","","","",""
"pit-instructions","42","440670","0.0-1.0-15.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":732.5}]","732.7000000476837","","","","","","","","","","","","","","","",""
"pit-comprehension","43","443922","0.0-1.0-15.1-0.1","battery-v0.2","","3250.0999999046326","","","","","","","","","","","","","","","0","0"
"pit-instructions","44","444805","0.0-1.0-15.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":876.7000000476837}]","877","","","","","","","","","","","","","","","",""
"pit-comprehension","45","454224","0.0-1.0-16.0-0.0","battery-v0.2","","9417.5","","","","","","","","","","","","","","","False","1"
"pit-instructions","46","457675","0.0-1.0-16.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3444.9000000953674}]","3445.2000000476837","","","","","","","","","","","","","","","",""
"pit-instructions","47","458859","0.0-1.0-16.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1183.0999999046326}]","1183.2999999523163","","","","","","","","","","","","","","","",""
"pit-comprehension","48","460993","0.0-1.0-16.1-0.1","battery-v0.2","","2132.0999999046326","","","","","","","","","","","","","","","True","0"
"pit-instructions","49","462043","0.0-1.0-16.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":1043.8000001907349}]","1044.1000001430511","","","","","","","","","","","","","","","",""
"pit-comprehension","50","466377","0.0-1.0-17.0-0.0","battery-v0.2","","4332.299999952316","","","","","","","","","","","","","","","False","1"
"pit-instructions","51","467644","0.0-1.0-17.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1259.6999998092651}]","1260.0999999046326","","","","","","","","","","","","","","","",""
"pit-instructions","52","468811","0.0-1.0-17.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1165.2000000476837}]","1165.5","","","","","","","","","","","","","","","",""
"pit-comprehension","53","470563","0.0-1.0-17.1-0.1","battery-v0.2","","1750.2999999523163","","","","","","","","","","","","","","","True","0"
"pit-instructions","54","471562","0.0-1.0-17.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":991.7000000476837}]","992.1000001430511","","","","","","","","","","","","","","","",""
"pit-comprehension","55","474296","0.0-1.0-18.0-0.0","battery-v0.2","","2732.4000000953674","","","","","","","","","","","","","","","False","1"
"pit-instructions","56","478647","0.0-1.0-18.0-1.0","battery-v0.2","[{""page_index"":0,""viewing_time"":4344.5}]","4344.700000047684","","","","","","","","","","","","","","","",""
"pit-instructions","57","479747","0.0-1.0-18.0-2.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1098.4000000953674}]","1098.6000001430511","","","","","","","","","","","","","","","",""
"pit-comprehension","58","482015","0.0-1.0-18.1-0.1","battery-v0.2","","2266.7999999523163","","","","","","","","","","","","","","","True","0"
"pit-instructions","59","482865","0.0-1.0-18.1-1.1","battery-v0.2","[{""page_index"":0,""viewing_time"":842.2999999523163}]","842.6000001430511","","","","","","","","","","","","","","","",""
