"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pit-trial","87","929461","0.0-2.0-11.10-3.10","battery-v0.2","","","1213","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[2063.0999999996275]","1","0","2",""
"pit-trial","88","932915","0.0-2.0-11.10-4.10","battery-v0.2","","","599.6999999992549","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1449.9000000003725]","1","0","2",""
"pit-trial","89","936335","0.0-2.0-11.11-0.11","battery-v0.2","","","563.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1413.9000000003725]","1","0","2",""
"pit-trial","90","939859","0.0-2.0-11.11-1.11","battery-v0.2","","","668.9000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1518.9000000003725]","1","0","2",""
"pit-trial","91","944714","0.0-2.0-11.11-2.11","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","92","949569","0.0-2.0-11.11-3.11","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2",""
"pit-trial","93","953090","0.0-2.0-11.11-4.11","battery-v0.2","","","665.1999999992549","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1515.5]","1","0","2",""
"pit-trial","94","957945","0.0-2.0-11.12-0.12","battery-v0.2","","","-1","","","12","998","1184","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2",""
"pit-trial","95","961339","0.0-2.0-11.12-1.12","battery-v0.2","","","538.4000000003725","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1388.5]","1","0","2",""
"pit-trial","96","964831","0.0-2.0-11.12-2.12","battery-v0.2","","","636.5","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[1486.699999999255]","1","0","2",""
"pit-trial","97","968136","0.0-2.0-11.12-3.12","battery-v0.2","","","450.6000000014901","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","+10","[1300.699999999255]","1","0","2",""
"pit-trial","98","972488","0.0-2.0-11.12-4.12","battery-v0.2","","","1495.800000000745","","","12","998","1184","&#9761;","elianto","#3366ff99","-1"," ","0","0","[2345.9000000003725]","1","0","2",""
"call-function","99","972490","0.0-2.0-12.0","battery-v0.2","","","","","","","","","","","","","","","","","","","",""
