"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pit-trial","69","405013","0.0-69.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","66","6","2","win","no-go","0"
"pit-trial","70","412033","0.0-70.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","67","5","4","lose","no-go","0"
"pit-trial","71","418438","0.0-71.0","battery-v0.2","","","-1","d","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","68","2","4","lose","no-go","0"
"pit-trial","72","425889","0.0-72.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","69","4","3","lose","go","0"
"pit-trial","73","432907","0.0-73.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","2","70","7","1","win","go","1"
"pit-trial","74","440113","0.0-74.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","71","6","2","win","no-go","0"
"pit-trial","75","447070","0.0-75.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","72","5","4","lose","no-go","0"
"pit-trial","76","454098","0.0-76.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","73","7","1","win","go","0"
"pit-trial","77","460899","0.0-77.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","74","5","4","lose","no-go","0"
"pit-trial","78","467206","0.0-78.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","75","4","3","lose","go","0"
"pit-trial","79","473894","0.0-79.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","76","6","2","win","no-go","0"
"pit-trial","80","481072","0.0-80.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","77","4","3","lose","go","1"
"pit-trial","81","487558","0.0-81.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","78","5","4","lose","no-go","1"
"pit-trial","82","494982","0.0-82.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","79","6","2","win","no-go","0"
"pit-trial","83","501606","0.0-83.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","80","7","1","win","go","0"
"pit-trial","84","508897","0.0-84.0","battery-v0.2","","","-1","s","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","81","6","2","win","no-go","0"
"pit-trial","85","515200","0.0-85.0","battery-v0.2","","","-1","p","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","82","7","1","win","go","0"
"pit-trial","86","520177","0.0-86.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","83","4","3","lose","go","0"
"pit-trial","87","526504","0.0-87.0","battery-v0.2","","","-1","w","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","84","5","4","lose","no-go","0"
"pit-trial","88","533171","0.0-88.0","battery-v0.2","","","-1","e","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","85","4","3","lose","go","0"
