"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pit-trial","16","198120","0.0-2.0-5.0-1.0","battery-v0.2","","","42.89999997615814","&#9776;","elianto","#3366ff99","32","32","1","+10","894","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","201545","0.0-2.0-5.0-2.0","battery-v0.2","","","569.4000000059605","&#9776;","elianto","#3366ff99","32","32","1","+10","1420.699999988079","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","205355","0.0-2.0-5.0-3.0","battery-v0.2","","","949.6999999880791","&#9776;","elianto","#3366ff99","32","32","1","0","1801.4000000059605","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","19","209071","0.0-2.0-5.0-4.0","battery-v0.2","","","857.1999999880791","&#9776;","elianto","#3366ff99","32","32","1","+10","1707.4000000059605","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","20","209075","0.0-2.0-6.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","21","222112","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":5539.699999988079},{""page_index"":1,""viewing_time"":1276.7000000178814},{""page_index"":2,""viewing_time"":3737.2999999821186},{""page_index"":3,""viewing_time"":2482.7000000178814}]","13036.59999999404","","","","","","","","","","","","","","","",""
"pit-trial","22","225876","0.0-2.0-8.0-0.0","battery-v0.2","","","905","&#9761;","elianto","#3366ff99","-1","32","0","0","1756.5","1","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","23","230738","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","24","235597","0.0-2.0-8.0-2.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","25","240461","0.0-2.0-8.0-3.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","26","245325","0.0-2.0-8.0-4.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","27","245329","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
