"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pit-trial","90","1241717","0.0-31.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","27","3","3","lose","go","0"
"pit-trial","91","1246571","0.0-32.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","28","2","1","win","go","1"
"pit-trial","92","1251425","0.0-33.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","29","3","3","lose","go","0"
"pit-trial","93","1259092","0.0-34.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","30","0","2","win","no-go","0"
"pit-trial","94","1292572","0.0-35.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","31","2","1","win","go","0"
"pit-trial","95","1373907","0.0-36.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","32","1","2","win","no-go","1"
"pit-trial","96","1409476","0.0-37.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","33","0","2","win","no-go","1"
"pit-trial","97","1414333","0.0-38.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","34","3","3","lose","go","0"
"pit-trial","98","1419191","0.0-39.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","35","2","1","win","go","0"
"pit-trial","99","1424050","0.0-40.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","36","1","2","win","no-go","0"
"pit-trial","100","1428909","0.0-41.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","37","2","1","win","go","0"
"pit-trial","101","1433767","0.0-42.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","38","0","2","win","no-go","1"
"pit-trial","102","1438621","0.0-43.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","39","3","3","lose","go","0"
"pit-trial","103","1443474","0.0-44.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","40","1","2","win","no-go","1"
"pit-trial","104","1448331","0.0-45.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","41","3","3","lose","go","1"
"pit-trial","105","1453189","0.0-46.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","42","2","1","win","go","0"
"pit-trial","106","1458048","0.0-47.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","43","1","2","win","no-go","0"
"pit-trial","107","1462903","0.0-48.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","44","0","2","win","no-go","0"
"pit-trial","108","1467761","0.0-49.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","45","3","3","lose","go","0"
"pit-trial","109","1472619","0.0-50.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","46","2","1","win","go","0"
"pit-trial","110","1477478","0.0-51.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","47","1","2","win","no-go","0"
"pit-trial","111","1482337","0.0-52.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","48","0","2","win","no-go","0"
"pit-trial","112","1487192","0.0-53.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","49","2","1","win","go","0"
"pit-trial","113","1492048","0.0-54.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","50","0","2","win","no-go","1"
"pit-trial","114","1496906","0.0-55.0","battery-v0.2","","","-1","","","x","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","51","3","3","lose","go","0"
"pit-trial","115","1501765","0.0-56.0","battery-v0.2","","","-1","","","n","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","52","1","2","win","no-go","0"
"pit-trial","116","1506626","0.0-57.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","53","5","3","lose","go","0"
"pit-trial","117","1511484","0.0-58.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","54","0","2","win","no-go","0"
"pit-trial","118","1516346","0.0-59.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","55","4","4","lose","no-go","0"
"pit-trial","119","1521203","0.0-60.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","56","2","1","win","go","0"
"pit-trial","120","1526058","0.0-61.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","57","2","1","win","go","1"
"pit-trial","121","1529831","0.0-62.0","battery-v0.2","","","915.0000000002328","","","t","elianto","#f73b6a7A","-1"," ","0","0","[1765.0000000002328]","1","2","","","","","999&age=16&gender=f&participant_ID=888","58","4","4","lose","no-go","1"
"pit-trial","122","1534684","0.0-63.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","59","5","3","lose","go","0"
"pit-trial","123","1539540","0.0-64.0","battery-v0.2","","","-1","","","q","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","60","0","2","win","no-go","0"
"pit-trial","124","1544401","0.0-65.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","61","5","3","lose","go","0"
"pit-trial","125","1549259","0.0-66.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","62","2","1","win","go","0"
"pit-trial","126","1554118","0.0-67.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","63","6","2","win","no-go","0"
"pit-trial","127","1558977","0.0-68.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","64","4","4","lose","no-go","1"
"pit-trial","128","1563835","0.0-69.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","65","4","4","lose","no-go","0"
"pit-trial","129","1568690","0.0-70.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","66","5","3","lose","go","0"
"pit-trial","130","1574257","0.0-71.0","battery-v0.2","","","-1","","","f","elianto","#3366ff99"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","67","2","1","win","go","0"
"pit-trial","131","1589234","0.0-72.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","68","6","2","win","no-go","0"
"pit-trial","132","1594089","0.0-73.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","69","7","4","lose","no-go","0"
"pit-trial","133","1598944","0.0-74.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","70","6","2","win","no-go","0"
"pit-trial","134","1603804","0.0-75.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","71","4","4","lose","no-go","0"
"pit-trial","135","1608664","0.0-76.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","72","5","3","lose","go","0"
"pit-trial","136","1613523","0.0-77.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","73","4","4","lose","no-go","0"
"pit-trial","137","1618379","0.0-78.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","74","7","4","lose","no-go","1"
"pit-trial","138","1623236","0.0-79.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","75","5","3","lose","go","0"
"pit-trial","139","1628096","0.0-80.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","76","6","2","win","no-go","0"
"pit-trial","140","1632951","0.0-81.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","77","6","2","win","no-go","0"
"pit-trial","141","1637808","0.0-82.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","78","7","4","lose","no-go","1"
"pit-trial","142","1642666","0.0-83.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","79","4","4","lose","no-go","0"
"pit-trial","143","1647521","0.0-84.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","80","5","3","lose","go","1"
"pit-trial","144","1652376","0.0-85.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","81","4","4","lose","no-go","0"
"pit-trial","145","1657231","0.0-86.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","82","5","3","lose","go","0"
"pit-trial","146","1662087","0.0-87.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","83","7","4","lose","no-go","0"
"pit-trial","147","1666947","0.0-88.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","84","6","2","win","no-go","0"
"pit-trial","148","1671805","0.0-89.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","85","5","3","lose","go","0"
"pit-trial","149","1676664","0.0-90.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","86","4","4","lose","no-go","0"
"pit-trial","150","1681523","0.0-91.0","battery-v0.2","","","-1","","","z","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","87","7","4","lose","no-go","0"
"pit-trial","151","1686381","0.0-92.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","88","6","2","win","no-go","1"
"pit-trial","152","1695952","0.0-93.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","89","6","2","win","no-go","1"
"pit-trial","153","1700538","0.0-94.0","battery-v0.2","","","1327","","","z","elianto","#f73b6a7A","-1"," ","0","-10","[2573]","1","2","","","","","999&age=16&gender=f&participant_ID=888","90","7","4","lose","no-go","0"
"pit-trial","154","1705398","0.0-95.0","battery-v0.2","","","-1","","","b","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","91","5","3","lose","go","0"
"pit-trial","155","1710255","0.0-96.0","battery-v0.2","","","-1","","","t","elianto","#f73b6a7A","-1","-1","1","0","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","92","4","4","lose","no-go","0"
"pit-trial","156","1715110","0.0-97.0","battery-v0.2","","","-1","","","c","elianto","#3366ff99","-1","-1","1","+10","[]","0","2","","","","","999&age=16&gender=f&participant_ID=888","93","6","2","win","no-go","0"
