"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value"
"pit-trial","14","127801","0.0-2.0-4.3-0.3","battery-v0.2","","","268","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1117.9999999999854]","1","0","0","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","15","130942","0.0-2.0-4.4-0.4","battery-v0.2","","","289.0000000000291","","","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1138]","1","0","0","999&age=16&gender=f&participant_ID=888","888",""
"pit-instructions","16","242023","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":8601},{""page_index"":1,""viewing_time"":92623},{""page_index"":2,""viewing_time"":4772},{""page_index"":3,""viewing_time"":5096}]","111092","","","","","","","","","","","","","","","",""
"pit-trial","17","246877","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","18","251731","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","19","256584","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","20","261437","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","21","266289","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-instructions","22","423189","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":6333},{""page_index"":1,""viewing_time"":48733},{""page_index"":2,""viewing_time"":5811.000000000058},{""page_index"":3,""viewing_time"":6093.999999999942},{""page_index"":4,""viewing_time"":5186},{""page_index"":5,""viewing_time"":5359},{""page_index"":6,""viewing_time"":4335},{""page_index"":7,""viewing_time"":8787},{""page_index"":8,""viewing_time"":6614.000000000058},{""page_index"":9,""viewing_time"":5765.999999999942},{""page_index"":10,""viewing_time"":6968},{""page_index"":11,""viewing_time"":4207},{""page_index"":12,""viewing_time"":6571.000000000058},{""page_index"":13,""viewing_time"":7158.999999999942},{""page_index"":14,""viewing_time"":7148},{""page_index"":15,""viewing_time"":6895},{""page_index"":16,""viewing_time"":6155},{""page_index"":17,""viewing_time"":8773}]","156895","","","","","","","","","","","","","","","",""
"pit-trial","23","426288","0.0-2.0-8.0-0.0","battery-v0.2","","","245","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1095]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","24","431142","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","25","435994","0.0-2.0-8.0-2.0","battery-v0.2","","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","26","440848","0.0-2.0-8.0-3.0","battery-v0.2","","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","+10","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","27","445702","0.0-2.0-8.0-4.0","battery-v0.2","","","-1","","","&#9776;","elianto","#3366ff99"," ","-1","0","0","[]","0","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","28","450095","0.0-2.0-8.1-0.1","battery-v0.2","","","1541","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[2390]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","29","453134","0.0-2.0-8.1-1.1","battery-v0.2","","","186","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1036]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","30","456174","0.0-2.0-8.1-2.1","battery-v0.2","","","186.0000000000582","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1036.0000000000582]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","31","459216","0.0-2.0-8.1-3.1","battery-v0.2","","","190.0000000000582","","","&#9776;","elianto","#3366ff99"," "," ","1","0","[1040.0000000000582]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"pit-trial","32","462410","0.0-2.0-8.1-4.1","battery-v0.2","","","340","","","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1191]","1","0","1","999&age=16&gender=f&participant_ID=888","888",""
"call-function","33","462412","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
